username,url,influencerCategory,influencerMention,accountType
gazellaturizm,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/gazellaturizm&entry.1477564887=32771
",Travel,No,Company
nissanturkiye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/nissanturkiye&entry.1477564887=32771
",Travel,No,Company
allesaglik,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/allesaglik&entry.1477564887=32771
",Health and Lifestyle,No,Company
crowneplazaistanbulflorya,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/crowneplazaistanbulflorya&entry.1477564887=32771
",Travel,No,Company
deterjanpazaricom,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/deterjanpazaricom&entry.1477564887=32771
",Health and Lifestyle,No,Company
koyunlu.mobilya,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/koyunlu.mobilya&entry.1477564887=32771
",Health and Lifestyle,No,Company
tirebolubelediye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/tirebolubelediye&entry.1477564887=32771
",Health and Lifestyle,No,Company
marcellopaintofficial,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/marcellopaintofficial&entry.1477564887=32771
",Fashion,No,Company
pelsanaydinlatma,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/pelsanaydinlatma&entry.1477564887=32771
",Tech,No,Company
digitalkafalar,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/digitalkafalar&entry.1477564887=32771
",Tech,No,Company
webtekno,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/webtekno&entry.1477564887=32771
",Entertainment,No,Influencer
tiesfed,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/tiesfed&entry.1477564887=32771
",Sports,No,Company
twitchdenkesitler,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/twitchdenkesitler&entry.1477564887=32771
",Entertainment,No,Influencer
anthavenbodrum,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/anthavenbodrum&entry.1477564887=32771
",Travel,No,Company
kenansofuoglu,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/kenansofuoglu&entry.1477564887=32771
",Sports,No,Influencer
mercankoleji_malatya,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/mercankoleji_malatya&entry.1477564887=32771
",,,
turkiyekaykayfederasyonu,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/turkiyekaykayfederasyonu&entry.1477564887=32771
",,,
tiyatro.in,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/tiyatro.in&entry.1477564887=32771
",Art,No,Company
labeljewellerycom,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/labeljewellerycom&entry.1477564887=32771
",Fashion,No,Company
iliskitesti,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/iliskitesti&entry.1477564887=32771
",Entertainment,No,Influencer
codemarcoo,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/codemarcoo&entry.1477564887=32771
",Gaming,No,Influencer
baims_tr,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/baims_tr&entry.1477564887=32771
",Health and Lifestyle,No,Company
beytusburger,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/beytusburger&entry.1477564887=32771
",Food,No,Company
cankiriotelavsa,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/cankiriotelavsa&entry.1477564887=32771
",Travel,No,Company
hexafinans,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/hexafinans&entry.1477564887=32771
",Health and Lifestyle,No,Company
fellasfoods,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/fellasfoods&entry.1477564887=32771
",Food,No,Company
hadioynalive,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/hadioynalive&entry.1477564887=32771
",Gaming,No,Company
nerfturkiye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/nerfturkiye&entry.1477564887=32771
",Entertainment,No,Company
arielturkiye,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/arielturkiye&entry.1477564887=32771
",Health and Lifestyle,No,Company
mapileather,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/mapileather&entry.1477564887=32771
",Fashion,No,Company
alimyapim,"https://docs.google.com/forms/d/e/1FAIpQLSfyzdCEu8dJGiUoR9DVcqOZYBgcMMnE6z2XGrmA17lhYi801Q/viewform?usp=pp_url&entry.1102225441=https://instagram.com/alimyapim&entry.1477564887=32771
",Entertainment,No,Company
